sample,super_pop,PC1,PC2,afr_score
HG02694,SAS,-5.574903028825442,7.4555398386808625,0.1619847929885109
HG02696,SAS,-8.042453484098942,10.230883445226937,0.07721075066586552
HG02697,SAS,-8.407225123966796,7.40677296149551,0.09266400186961513
HG02699,SAS,-11.451723293009092,4.708266182935295,0.05627718408461519
HG02700,SAS,-11.038910250478413,8.76808466444519,0.029105791999441577
HG02702,AFR,28.31927600340035,-1.5562223400641866,0.9967481614851337
HG02703,AFR,29.40441600270288,-3.5279506521798876,1.0
HG02715,AFR,27.517769586203865,-0.9313663238723755,0.9669748537991026
HG02716,AFR,31.14047724766155,-3.067677374979816,1.0
HG02721,AFR,31.799079041507415,-2.9584156747111257,1.0
HG02722,AFR,25.289265021256572,0.3342154898225662,0.9027360547305867
HG02724,SAS,-8.709447214548927,6.677666785461612,0.09990166737739299
HG02725,SAS,-9.20173527275874,0.6092499308383312,0.16563840271544092
HG02727,SAS,-6.312216778240823,7.071906768463572,0.15376309939163968
HG02728,SAS,-9.328954662738237,3.3262557968803788,0.11809658040298168
HG02731,SAS,-10.032713009537392,3.1377808330316546,0.10327366109512935
HG02733,SAS,-10.951584813226354,4.6797091193110285,0.0806540199997621
HG02734,SAS,-11.202123735801122,5.8231662291777795,0.046131626237632686
HG02736,SAS,-9.553863391286368,8.790789278261212,0.05080787365903833
HG02737,SAS,-9.658571417368877,10.079746002021148,0.04797554411212433
HG02756,AFR,31.054670161037038,-3.0268552565207987,1.0
HG02757,AFR,26.592062466132198,0.9386369494877631,0.9285408650079972
HG02759,AFR,30.281179779018736,-5.111087855841086,1.0
HG02760,AFR,27.786202548563814,-5.373839683720501,1.0
HG02763,AFR,31.89345294563454,-5.576955245145322,1.0
HG02768,AFR,25.412013866073227,-1.548290430540794,0.9315519953904781
HG02769,AFR,30.316866719392426,-3.5755136375292524,1.0
HG02771,AFR,32.90873890765131,-4.9000601607881125,1.0
HG02772,AFR,32.181065180646314,-3.3070394579496085,1.0
HG02774,SAS,-8.512594664025613,2.0534027016798384,0.15148453672477982
HG02775,SAS,-9.763723903118416,3.3457027241418675,0.10963322853661762
HG02778,SAS,-8.535160609427303,0.6154151907797705,0.1717152297226397
HG02780,SAS,-6.838843597045631,6.580503507404361,0.138380735547723
HG02783,SAS,-9.37413476361227,0.8400135998411876,0.1408854303142449
HG02784,SAS,-10.009584714940583,3.6891509362502424,0.11185949220176508
HG02786,SAS,-10.538719898291083,-2.134810634812258,0.14485448453573083
HG02787,SAS,-12.039941651158047,-0.9706750424400267,0.0990122884997188
HG02789,SAS,-9.595198870047815,-1.991121014257671,0.18303048703487632
HG02790,SAS,-7.220998215758144,6.729076723774988,0.15047916851797566
HG02792,SAS,-9.881881883439807,0.7717598736767675,0.1414537266724373
HG02793,SAS,-9.366744661093113,7.813797068521041,0.0795653092333894
HG02798,AFR,31.27043127567668,-3.711399291981027,1.0
HG02799,AFR,31.527182751695207,-2.0436386230710677,1.0
HG02804,AFR,30.939118055004176,-3.825981511622758,1.0
HG02805,AFR,31.952559957096867,-3.636317896703995,1.0
HG02807,AFR,29.038156313242332,-0.6482827884285816,1.0
HG02808,AFR,28.874083647359644,0.2941260649070361,0.9947571913706478
HG02810,AFR,31.929708826339233,-1.956134994295033,1.0
HG02811,AFR,20.493825721854126,-1.5575141259821208,0.8251302625204201
HG02813,AFR,29.940034988758764,-1.0348423328424003,1.0
HG02814,AFR,23.623635701869798,-1.4037251402549222,0.8868664829157749
